sample_id,answer_changed,transition_group,stable_correct,broken,repaired,stable_wrong,stable_wrong_same,stable_wrong_different,gold_answer,baseline_answer,swap_answer,clean_numeric_trace,swap_numeric_trace,clean_numeric_count,swap_numeric_count,numeric_trace_edit_distance,numeric_trace_edit_distance_normalized,first_numeric_divergence_index,shared_numeric_prefix_length
mgsm_0010,True,repaired,False,False,True,False,False,False,366,375,366,"[""60"", ""2"", ""180"", ""30"", ""1"", ""0.3"", ""180"", ""135"", ""60"", ""180"", ""135"", ""375"", ""375"", ""1"", ""60"", ""3"", ""60"", ""30"", ""1"", ""0.3"", ""180"", ""2"", ""60"", ""3"", ""60"", ""180"", ""1"", ""0.3"", ""180"", ""135"", ""3""]","[""1"", ""60"", ""3"", ""3"", ""60"", ""180"", ""70"", ""0.7"", ""0.7"", ""180"", ""126"", ""2"", ""60"", ""180"", ""126"", ""366"", ""366""]",31,17,25,0.8064516129032258,0,0
mgsm_0011,False,stable_wrong,False,False,False,True,True,False,694,794,794,"[""3"", ""68"", ""3"", ""68"", ""204"", ""2"", ""80"", ""2"", ""80"", ""160"", ""6"", ""55"", ""6"", ""55"", ""330"", ""204"", ""160"", ""330"", ""794"", ""794"", ""1"", ""2""]","[""3"", ""68"", ""204"", ""2"", ""80"", ""160"", ""6"", ""55"", ""330"", ""204"", ""160"", ""330"", ""794"", ""794"", ""794""]",22,15,8,0.36363636363636365,2,2
mgsm_0012,True,stable_wrong,False,False,False,True,False,True,13,1,0,"[""90"", ""3"", ""93"", ""7"", ""1.5"", ""7"", ""1.5"", ""10.5"", ""10.5"", ""93"", ""0.114"", ""1"", ""1""]","[""1"", ""90"", ""3"", ""3"", ""2"", ""7"", ""1.5"", ""7"", ""1.5"", ""10.5"", ""3"", ""10.5"", ""3"", ""4"", ""10.5"", ""3"", ""0""]",13,17,9,0.5294117647058824,0,0
mgsm_0013,True,stable_wrong,False,False,False,True,False,True,18,16,5,"[""1"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2"", ""3"", ""1"", ""2"", ""2"", ""2"", ""1"", ""2"", ""2"", ""2"", ""4"", ""5"", ""1"", ""2"", ""2"", ""2"", ""5"", ""2"", ""2"", ""10"", ""2"", ""8"", ""16"", ""16"", ""16""]","[""1"", ""2"", ""3"", ""4"", ""1"", ""3"", ""2"", ""2"", ""5"", ""5""]",31,10,23,0.7419354838709677,2,2
mgsm_0014,True,broken,False,True,False,False,False,False,60,60,10,"[""20"", ""20"", ""4"", ""20"", ""4"", ""16"", ""16"", ""25"", ""4"", ""16"", ""4"", ""12"", ""12"", ""20"", ""100"", ""60"", ""60"", ""1"", ""20"", ""20"", ""4"", ""2"", ""20"", ""4"", ""16"", ""3"", ""16"", ""25"", ""4"", ""4""]","[""20"", ""20"", ""4"", ""20"", ""4"", ""25"", ""14"", ""20"", ""4"", ""14"", ""2"", ""2"", ""20"", ""100"", ""10"", ""10"", ""1"", ""20"", ""20"", ""4"", ""2"", ""20"", ""4"", ""25"", ""16"", ""25"", ""4"", ""3""]",30,28,12,0.4,5,5
mgsm_0015,True,stable_wrong,False,False,False,True,False,True,125,96,0.0,"[""5000"", ""2.5"", ""5000"", ""1"", ""2.5"", ""5000"", ""1.025"", ""5125"", ""8000"", ""1.2"", ""8000"", ""1"", ""1.2"", ""8000"", ""1.012"", ""8096"", ""5125"", ""5000"", ""125"", ""8096"", ""8000"", ""96""]","[""1"", ""0.025"", ""1"", ""0.012"", ""5000"", ""5000"", ""0.025"", ""8000"", ""8000"", ""0.012"", ""1"", ""0.025"", ""5000"", ""0""]",22,14,17,0.7727272727272727,0,0
mgsm_0016,True,stable_wrong,False,False,False,True,False,True,230,300,460,"[""80"", ""2"", ""150"", ""2"", ""150"", ""300"", ""2"", ""300"", ""300"", ""300""]","[""1"", ""80"", ""80"", ""160"", ""150"", ""150"", ""300"", ""2"", ""160"", ""300"", ""460"", ""160"", ""300"", ""460"", ""460""]",10,15,9,0.6,0,0
mgsm_0017,False,stable_correct,True,False,False,False,False,False,57500,57500,57500,"[""35"", ""35"", ""50"", ""1750"", ""15"", ""15"", ""50"", ""750"", ""20"", ""20"", ""1750"", ""35000"", ""30"", ""30"", ""750"", ""22500"", ""35000"", ""22500"", ""57500""]","[""35"", ""35"", ""50"", ""1750"", ""15"", ""15"", ""50"", ""750"", ""20"", ""20"", ""1750"", ""35000"", ""30"", ""30"", ""750"", ""22500"", ""35000"", ""22500"", ""57500""]",19,19,0,0.0,,19
mgsm_0018,False,stable_correct,True,False,False,False,False,False,7,7,7,"[""1"", ""3"", ""2"", ""7"", ""3"", ""3"", ""7"", ""21"", ""4"", ""21"", ""4"", ""84"", ""5"", ""12"", ""84"", ""12"", ""7"", ""7"", ""7"", ""1"", ""3"", ""2"", ""7"", ""3"", ""7"", ""21"", ""3""]","[""1"", ""3"", ""2"", ""7"", ""3"", ""7"", ""21"", ""3"", ""4"", ""21"", ""4"", ""84"", ""4"", ""12"", ""12"", ""84"", ""12"", ""7"", ""7""]",27,19,13,0.48148148148148145,5,5
mgsm_0019,True,broken,False,True,False,False,False,False,6,6,1.5,"[""1"", ""4"", ""1"", ""2"", ""4"", ""2"", ""6"", ""12"", ""6"", ""12"", ""6"", ""6"", ""4"", ""6"", ""4"", ""12"", ""12"", ""4"", ""3"", ""3"", ""6""]","[""1"", ""4"", ""1"", ""2"", ""4"", ""2"", ""6"", ""12"", ""6"", ""12"", ""6"", ""6"", ""4"", ""1"", ""6"", ""4"", ""6"", ""4"", ""1.5""]",21,19,6,0.2857142857142857,13,13
mgsm_0020,True,stable_wrong,False,False,False,True,False,True,15,14.67,6.67,"[""10"", ""10"", ""2/3"", ""6.67"", ""15"", ""15"", ""3/5"", ""9"", ""10"", ""15"", ""25"", ""24"", ""1"", ""1"", ""6.67"", ""1"", ""5.67"", ""9"", ""5.67"", ""9"", ""14.67"", ""14.67"", ""1""]","[""10"", ""10"", ""2/3"", ""6.67"", ""15"", ""15"", ""3/5"", ""9"", ""6.67"", ""6.67"", ""1"", ""5.67"", ""10"", ""1"", ""9"", ""15"", ""9"", ""15"", ""24"", ""24"", ""6.67""]",23,21,12,0.5217391304347826,8,8
mgsm_0021,True,stable_wrong,False,False,False,True,False,True,14,2,17,"[""23"", ""31"", ""6"", ""6"", ""23"", ""31"", ""6"", ""23"", ""25"", ""25"", ""23"", ""2"", ""2"", ""2"", ""1"", ""6"", ""23"", ""31"", ""2"", ""6""]","[""1"", ""6"", ""6"", ""2"", ""23"", ""6"", ""6"", ""23"", ""17"", ""23"", ""17"", ""23"", ""3"", ""17"", ""40"", ""40"", ""4"", ""23"", ""40"", ""23"", ""40"", ""23"", ""17""]",20,23,17,0.7391304347826086,0,0
mgsm_0022,False,stable_correct,True,False,False,False,False,False,7,7,7,"[""3"", ""3"", ""1"", ""3"", ""2"", ""2"", ""2"", ""4"", ""3"", ""3"", ""0"", ""0"", ""3"", ""4"", ""0"", ""7"", ""7"", ""1"", ""3"", ""3"", ""1"", ""3"", ""2"", ""2"", ""2"", ""2"", ""4"", ""3"", ""3"", ""3"", ""0"", ""0"", ""4"", ""3""]","[""1"", ""3"", ""2"", ""2"", ""3"", ""3"", ""1"", ""3"", ""2"", ""2"", ""4"", ""4"", ""1"", ""2"", ""3"", ""4"", ""7"", ""7"", ""7""]",34,19,22,0.6470588235294118,0,0
mgsm_0023,False,stable_correct,True,False,False,False,False,False,8,8,8,"[""1"", ""1"", ""0"", ""5"", ""0"", ""4"", ""1"", ""0"", ""5"", ""0"", ""2"", ""4"", ""2"", ""4"", ""4"", ""2"", ""8"", ""8"", ""1"", ""0"", ""5"", ""0"", ""8""]","[""1"", ""1"", ""0"", ""5"", ""0"", ""4"", ""2"", ""2"", ""2"", ""4"", ""3"", ""8"", ""8"", ""8""]",23,14,11,0.4782608695652174,6,6
mgsm_0024,False,stable_correct,True,False,False,False,False,False,26,26,26,"[""0.75"", ""19.5"", ""0.75"", ""19.5"", ""0.75"", ""26"", ""26"", ""26"", ""26""]","[""75"", ""0.75"", ""19.5"", ""19.5"", ""0.75"", ""26"", ""26"", ""26""]",9,8,3,0.3333333333333333,0,0
mgsm_0025,False,stable_correct,True,False,False,False,False,False,2,2,2,"[""12"", ""3"", ""5"", ""1.5"", ""4"", ""8.5"", ""50"", ""12"", ""3"", ""5"", ""15"", ""1.5"", ""4"", ""6"", ""12"", ""15"", ""6"", ""8.5"", ""50"", ""33"", ""8.5"", ""50"", ""33"", ""8.5"", ""17"", ""8.5"", ""17"", ""8.5"", ""2"", ""2"", ""2""]","[""1"", ""12"", ""5"", ""5"", ""3"", ""15"", ""4"", ""1.5"", ""4"", ""1.5"", ""6"", ""12"", ""15"", ""6"", ""33"", ""2"", ""50"", ""33"", ""50"", ""33"", ""17"", ""3"", ""8.5"", ""17"", ""8.5"", ""2"", ""2"", ""2""]",31,28,15,0.4838709677419355,0,0
mgsm_0026,False,stable_correct,True,False,False,False,False,False,243,243,243,"[""3"", ""16.5"", ""49.5"", ""3"", ""22.5"", ""67.5"", ""3"", ""42"", ""126"", ""49.5"", ""67.5"", ""126"", ""243"", ""243"", ""1"", ""3"", ""16.5"", ""49.5"", ""2"", ""3"", ""22.5"", ""67.5"", ""3"", ""3"", ""42"", ""126"", ""4"", ""49.5"", ""67""]","[""3"", ""16.5"", ""49.5"", ""3"", ""22.5"", ""67.5"", ""3"", ""42"", ""126"", ""49.5"", ""67.5"", ""126"", ""243"", ""243""]",29,14,15,0.5172413793103449,14,14
mgsm_0027,True,stable_wrong,False,False,False,True,False,True,16,240,16.00,"[""60"", ""60"", ""4"", ""60"", ""60"", ""4"", ""60"", ""60"", ""60"", ""4"", ""240"", ""60"", ""240"", ""240""]","[""1"", ""15"", ""60"", ""60"", ""1"", ""15"", ""4"", ""2"", ""4"", ""4"", ""4"", ""4"", ""16"", ""16""]",14,14,12,0.8571428571428571,0,0
mgsm_0028,True,broken,False,True,False,False,False,False,25,25,35,"[""20"", ""15"", ""20"", ""15"", ""35"", ""60"", ""35"", ""60"", ""35"", ""25"", ""25"", ""25""]","[""60"", ""20"", ""40"", ""15"", ""45"", ""60"", ""15"", ""45"", ""35"", ""40"", ""5"", ""35"", ""35""]",12,13,10,0.7692307692307693,0,0
mgsm_0029,True,stable_wrong,False,False,False,True,False,True,104,94,99,"[""33"", ""66"", ""5"", ""33"", ""66"", ""5"", ""99"", ""5"", ""99"", ""5"", ""94"", ""94"", ""94"", ""1"", ""2"", ""33"", ""66"", ""3"", ""5""]","[""1"", ""33"", ""2"", ""33"", ""2"", ""2"", ""33"", ""66"", ""3"", ""33"", ""66"", ""99"", ""4"", ""99"", ""5"", ""66"", ""33"", ""66"", ""33"", ""33"", ""33"", ""6"", ""99""]",19,23,17,0.7391304347826086,0,0
mgsm_0030,True,stable_wrong,False,False,False,True,False,True,109,10,9,"[""7"", ""11"", ""7"", ""11"", ""162"", ""18"", ""162"", ""162"", ""18"", ""9"", ""7"", ""9"", ""63"", ""11"", ""9"", ""99"", ""10"", ""10""]","[""1"", ""2"", ""7"", ""11"", ""7/11"", ""3"", ""162"", ""162"", ""4"", ""7/11"", ""5"", ""7/11"", ""162"", ""6"", ""18/11"", ""162"", ""7"", ""11/18"", ""162"", ""11"", ""18"", ""8"", ""99"", ""9""]",18,24,18,0.75,0,0
mgsm_0031,True,repaired,False,False,True,False,False,False,80,3,80,"[""1"", ""80"", ""20"", ""2"", ""80"", ""20"", ""160"", ""20"", ""180"", ""25"", ""80"", ""0.25"", ""80"", ""80"", ""20"", ""100"", ""2"", ""3""]","[""1"", ""80"", ""1/2"", ""80"", ""20"", ""40"", ""20"", ""60"", ""80"", ""25"", ""80"", ""80"", ""20"", ""100"", ""2"", ""80"", ""60"", ""100"", ""3"", ""240"", ""3"", ""80"", ""80""]",18,23,13,0.5652173913043478,2,2
mgsm_0032,False,stable_correct,True,False,False,False,False,False,35,35,35,"[""0.5"", ""10"", ""10"", ""0.5"", ""5"", ""7"", ""5"", ""7"", ""35"", ""35"", ""35""]","[""0.5"", ""10"", ""10"", ""0.5"", ""5"", ""7"", ""5"", ""7"", ""35"", ""35"", ""35""]",11,11,0,0.0,,11
mgsm_0033,False,stable_correct,True,False,False,False,False,False,70,70,70,"[""30"", ""30"", ""110"", ""2"", ""30"", ""110"", ""2"", ""80"", ""40"", ""40"", ""40"", ""30"", ""70"", ""70"", ""1"", ""30"", ""2"", ""110"", ""110"", ""3"", ""30"", ""1"", ""2"", ""30"", ""110"", ""4"", ""2"", ""3""]","[""1"", ""110"", ""2"", ""110"", ""30"", ""110"", ""30"", ""2"", ""140"", ""2"", ""70"", ""70"", ""70""]",28,13,21,0.75,0,0
mgsm_0034,False,stable_correct,True,False,False,False,False,False,23,23,23,"[""1"", ""5"", ""2"", ""5"", ""2"", ""40"", ""40"", ""40/2"", ""5"", ""20"", ""5"", ""25"", ""25"", ""2"", ""25"", ""2"", ""23"", ""23"", ""23""]","[""1"", ""40"", ""2"", ""5"", ""2"", ""5"", ""3"", ""40"", ""40/2"", ""5"", ""20"", ""5"", ""25"", ""4"", ""3"", ""2"", ""5"", ""25"", ""25"", ""2"", ""23"", ""23""]",19,22,8,0.36363636363636365,1,1
mgsm_0035,True,broken,False,True,False,False,False,False,9,9,36,"[""20"", ""25"", ""20"", ""1.25"", ""20"", ""20"", ""4"", ""1.25"", ""5"", ""20"", ""20"", ""4"", ""5"", ""9"", ""9"", ""9"", ""1"", ""20"", ""4"", ""1.25"", ""5"", ""2"", ""4"", ""5"", ""9"", ""9"", ""9""]","[""1"", ""20"", ""25"", ""4"", ""2"", ""40"", ""20"", ""4"", ""20"", ""1"", ""36"", ""20"", ""25"", ""4"", ""4""]",27,15,21,0.7777777777777778,0,0
mgsm_0036,True,repaired,False,False,True,False,False,False,75,75.00,75,"[""4"", ""5"", ""4"", ""5"", ""4"", ""1.25"", ""30"", ""2"", ""30"", ""2"", ""30"", ""2"", ""30"", ""60"", ""60"", ""1.25"", ""75"", ""75"", ""75"", ""1"", ""2""]","[""1"", ""2"", ""2"", ""30"", ""2"", ""30"", ""60"", ""3"", ""4"", ""5"", ""60"", ""4"", ""5"", ""60"", ""5"", ""60"", ""4"", ""75"", ""75"", ""30"", ""75""]",21,21,17,0.8095238095238095,0,0
mgsm_0037,True,stable_wrong,False,False,False,True,False,True,2,23,40,"[""13"", ""15"", ""13"", ""15"", ""195"", ""8"", ""20"", ""8"", ""20"", ""160"", ""5"", ""195"", ""160"", ""5"", ""350"", ""5"", ""350"", ""5"", ""345"", ""15"", ""345"", ""15"", ""23""]","[""1"", ""13"", ""15"", ""13"", ""15"", ""195"", ""2"", ""8"", ""20"", ""8"", ""20"", ""160"", ""3"", ""5"", ""5"", ""160"", ""195"", ""160"", ""5"", ""40"", ""4"", ""13"", ""40""]",23,23,13,0.5652173913043478,0,0
mgsm_0038,True,stable_wrong,False,False,False,True,False,True,10,1.67,2.5,"[""3"", ""3"", ""3"", ""9"", ""60"", ""60"", ""3"", ""3"", ""20"", ""3"", ""3"", ""2"", ""6"", ""9"", ""6"", ""15"", ""15"", ""9"", ""15"", ""9"", ""1"", ""6"", ""1.67"", ""1.67"", ""1""]","[""3"", ""3"", ""7"", ""21"", ""3"", ""2"", ""1.5"", ""1.5"", ""2"", ""3"", ""21"", ""3"", ""24"", ""60"", ""24"", ""2.5"", ""2.5""]",25,17,21,0.84,2,2
mgsm_0039,True,broken,False,True,False,False,False,False,18,18,72,"[""1"", ""4"", ""2"", ""1/2"", ""4"", ""2"", ""3"", ""3"", ""2"", ""3"", ""1.5"", ""4"", ""6"", ""2"", ""4"", ""5"", ""2"", ""4"", ""2"", ""4"", ""1.5"", ""12"", ""6"", ""4"", ""4"", ""1.5"", ""6"", ""7"", ""12"", ""6"", ""18"", ""18""]","[""1"", ""3"", ""6"", ""2"", ""4"", ""6"", ""4"", ""24"", ""3"", ""8"", ""6"", ""8"", ""48"", ""4"", ""24"", ""48"", ""72"", ""72""]",32,18,25,0.78125,1,1
mgsm_0040,True,stable_wrong,False,False,False,True,False,True,8,12,3,"[""2"", ""3"", ""2"", ""6"", ""1"", ""5"", ""6"", ""1"", ""6"", ""6"", ""1"", ""12"", ""1"", ""12"", ""1"", ""12"", ""1"", ""1"", ""1"", ""2"", ""2""]","[""1"", ""2"", ""3"", ""1"", ""1"", ""2"", ""1"", ""3"", ""1"", ""3"", ""3"", ""3""]",21,12,16,0.7619047619047619,0,0
mgsm_0041,True,stable_wrong,False,False,False,True,False,True,200,0,1200,"[""3"", ""3"", ""400"", ""1200"", ""1200"", ""1000"", ""0"", ""1"", ""400"", ""3"", ""400"", ""1200"", ""2"", ""1000""]","[""1"", ""400"", ""2"", ""400"", ""3"", ""400"", ""3"", ""3"", ""400"", ""1200"", ""4"", ""5"", ""1200""]",14,13,11,0.7857142857142857,0,0
mgsm_0042,False,stable_correct,True,False,False,False,False,False,26,26,26,"[""5"", ""8"", ""14"", ""5"", ""8"", ""5"", ""8"", ""40"", ""40"", ""14"", ""40"", ""14"", ""26"", ""26"", ""26"", ""1"", ""2"", ""5"", ""8"", ""5"", ""8"", ""40"", ""3"", ""14"", ""40"", ""14""]","[""1"", ""5"", ""8"", ""5"", ""8"", ""40"", ""2"", ""14"", ""40"", ""14"", ""26"", ""3"", ""26"", ""26"", ""5"", ""26""]",26,16,15,0.5769230769230769,0,0
mgsm_0043,True,stable_wrong,False,False,False,True,False,True,48,200,0,"[""300"", ""5"", ""250"", ""5"", ""50"", ""2000"", ""1800"", ""2000"", ""1800"", ""200""]","[""300"", ""5"", ""250"", ""5"", ""250"", ""1250"", ""2000"", ""1800"", ""200"", ""200"", ""250"", ""0.8"", ""0"", ""0""]",10,14,8,0.5714285714285714,4,4
mgsm_0044,True,broken,False,True,False,False,False,False,20,20,160,"[""20"", ""10"", ""20"", ""2"", ""20"", ""10"", ""2"", ""20"", ""2"", ""10"", ""20"", ""20"", ""2"", ""20"", ""2"", ""40"", ""40"", ""20"", ""20"", ""20""]","[""1"", ""1"", ""20"", ""20"", ""10"", ""20"", ""10"", ""200"", ""2"", ""2"", ""20"", ""20"", ""2"", ""40"", ""3"", ""40"", ""200"", ""160"", ""-160"", ""160""]",20,20,13,0.65,0,0
mgsm_0045,True,broken,False,True,False,False,False,False,104,104,132,"[""5"", ""1"", ""2/5"", ""7/5"", ""2"", ""5"", ""7/5"", ""5"", ""7"", ""2"", ""7/5"", ""5"", ""14"", ""5"", ""7"", ""14"", ""26"", ""4"", ""26"", ""26"", ""4"", ""104"", ""104"", ""104""]","[""1"", ""5"", ""5"", ""2"", ""5"", ""5"", ""5"", ""2"", ""7"", ""7"", ""2"", ""7"", ""7"", ""14"", ""21"", ""2"", ""5"", ""4"", ""20"", ""7"", ""4"", ""28"", ""21"", ""4"", ""84"", ""3"", ""20"", ""28"", ""84"", ""132"", ""132""]",24,31,22,0.7096774193548387,0,0
mgsm_0046,True,stable_wrong,False,False,False,True,False,True,163,219,0,"[""1"", ""80"", ""2"", ""3"", ""220"", ""23"", ""4"", ""220"", ""1"", ""219"", ""5"", ""219"", ""219"", ""219""]","[""1"", ""80"", ""23"", ""80"", ""23"", ""57"", ""2"", ""80"", ""57"", ""23"", ""80"", ""57"", ""23"", ""3"", ""80"", ""57"", ""23"", ""23"", ""23"", ""23"", ""23"", ""0"", ""0"", ""80"", ""0""]",14,25,20,0.8,2,2
mgsm_0047,True,stable_wrong,False,False,False,True,False,True,800,4,3,"[""2"", ""40"", ""40"", ""50"", ""1.5"", ""1.5"", ""40"", ""60"", ""200"", ""40"", ""60"", ""2"", ""120"", ""40"", ""120"", ""160"", ""200"", ""160"", ""200"", ""200"", ""160"", ""5"", ""4""]","[""2"", ""50"", ""1.5"", ""40"", ""40"", ""1.5"", ""60"", ""200"", ""200"", ""40"", ""5"", ""2"", ""2"", ""60"", ""200"", ""120"", ""200"", ""200"", ""120"", ""5/3"", ""2"", ""5/3"", ""10/3""]",23,23,16,0.6956521739130435,1,1
mgsm_0048,False,stable_correct,True,False,False,False,False,False,8,8,8,"[""4"", ""1"", ""12"", ""4"", ""4"", ""12"", ""48"", ""6"", ""48"", ""6"", ""8"", ""8"", ""8""]","[""1"", ""12"", ""4"", ""4"", ""12"", ""48"", ""2"", ""48"", ""6"", ""48"", ""6"", ""8"", ""8""]",13,13,4,0.3076923076923077,0,0
mgsm_0049,False,stable_correct,True,False,False,False,False,False,30,30,30,"[""8"", ""15"", ""8"", ""120"", ""3/4"", ""120"", ""3"", ""4"", ""90"", ""120"", ""90"", ""120"", ""90"", ""30"", ""30"", ""1"", ""15"", ""8"", ""2"", ""15"", ""8"", ""3/4"", ""3""]","[""8"", ""15"", ""15"", ""8"", ""120"", ""3/4"", ""120"", ""3"", ""4"", ""90"", ""120"", ""90"", ""120"", ""90"", ""30"", ""30""]",23,16,9,0.391304347826087,2,2
mgsm_0050,True,repaired,False,False,True,False,False,False,294,252,294,"[""1"", ""7"", ""252"", ""252"", ""7"", ""2"", ""12"", ""2"", ""12"", ""12"", ""2"", ""2"", ""2"", ""3"", ""1"", ""2"", ""252""]","[""1"", ""7"", ""252"", ""252"", ""7"", ""1764"", ""2"", ""12"", ""2"", ""1764"", ""12"", ""147"", ""2"", ""147"", ""2"", ""294"", ""294"", ""294""]",17,18,8,0.4444444444444444,5,5
mgsm_0051,False,stable_correct,True,False,False,False,False,False,5,5,5,"[""1"", ""4"", ""3"", ""3"", ""10"", ""30"", ""6"", ""30"", ""6"", ""5"", ""5"", ""5""]","[""1"", ""10"", ""3"", ""1"", ""4"", ""10"", ""3"", ""30"", ""2"", ""6"", ""30"", ""30"", ""6"", ""5"", ""5""]",12,15,7,0.4666666666666667,1,1
mgsm_0052,True,repaired,False,False,True,False,False,False,15,1,15,"[""15"", ""1/4"", ""1/2"", ""15"", ""1/4"", ""1/2"", ""15"", ""30"", ""30"", ""30"", ""1/4"", ""-30"", ""1/2"", ""15"", ""15"", ""1/2"", ""30"", ""15"", ""1""]","[""1"", ""2"", ""15"", ""15"", ""3"", ""30"", ""30"", ""1/4"", ""7.5"", ""4"", ""15"", ""7.5"", ""7.5"", ""5"", ""7.5"", ""1/2"", ""7.5"", ""2"", ""15"", ""15""]",19,20,15,0.75,0,0
